sample_size,time,formula,num_items,seed
30000,13.113810777664185,(user_latents|item),250,4
30000,15.508498430252075,(user_latents|item),300,0
30000,17.002511739730835,(user_latents|item),300,1
30000,14.848817586898804,(user_latents|item),300,2
30000,18.314754486083984,(user_latents|item),300,3
30000,15.982113599777222,(user_latents|item),300,4
30000,16.860536098480225,(user_latents|item),350,0
30000,8.741347789764404,(user_latents|item),350,1
30000,12.233814477920532,(user_latents|item),350,2
30000,15.52843451499939,(user_latents|item),350,3
30000,11.922101259231567,(user_latents|item),350,4
30000,8.459680795669556,(user_latents|item),400,0
30000,7.231381177902222,(user_latents|item),400,1
30000,6.940437078475952,(user_latents|item),400,2
30000,8.245188474655151,(user_latents|item),400,3
30000,7.135974884033203,(user_latents|item),400,4
30000,19.89322543144226,(user_latents|item),450,0
30000,20.55560302734375,(user_latents|item),450,1
30000,15.335043668746948,(user_latents|item),450,2
30000,21.33204936981201,(user_latents|item),450,3
30000,18.1233069896698,(user_latents|item),450,4
30000,8.922788858413696,(user_latents|item),500,0
30000,10.264877319335938,(user_latents|item),500,1
30000,11.628794431686401,(user_latents|item),500,2
30000,10.769840717315674,(user_latents|item),500,3
30000,10.125535011291504,(user_latents|item),500,4
30000,1.7476367950439453,(item_latents|constant),10,0
30000,2.1643567085266113,(item_latents|constant),10,1
30000,1.8819715976715088,(item_latents|constant),10,2
30000,1.8679511547088623,(item_latents|constant),10,3
30000,1.599576711654663,(item_latents|constant),10,4
30000,2.428546190261841,(item_latents|constant),20,0
30000,3.145848512649536,(item_latents|constant),20,1
30000,2.270390510559082,(item_latents|constant),20,2
30000,2.8327674865722656,(item_latents|constant),20,3
30000,1.9242682456970215,(item_latents|constant),20,4
30000,4.248321533203125,(item_latents|constant),50,0
30000,3.6188318729400635,(item_latents|constant),50,1
30000,5.838469505310059,(item_latents|constant),50,2
30000,2.187180280685425,(item_latents|constant),50,3
30000,4.1213603019714355,(item_latents|constant),50,4
30000,2.9309356212615967,(item_latents|constant),100,0
30000,2.103468418121338,(item_latents|constant),100,1
30000,2.366314172744751,(item_latents|constant),100,2
30000,2.752025842666626,(item_latents|constant),100,3
30000,1.9382281303405762,(item_latents|constant),100,4
30000,2.9897704124450684,(item_latents|constant),150,0
30000,2.240917682647705,(item_latents|constant),150,1
30000,2.177678108215332,(item_latents|constant),150,2
30000,3.1619606018066406,(item_latents|constant),150,3
30000,2.3986353874206543,(item_latents|constant),150,4
30000,3.1095919609069824,(item_latents|constant),200,0
30000,2.7170557975769043,(item_latents|constant),200,1
30000,2.7377073764801025,(item_latents|constant),200,2
30000,2.374882698059082,(item_latents|constant),200,3
30000,2.3045079708099365,(item_latents|constant),200,4
30000,2.6913464069366455,(item_latents|constant),250,0
30000,3.6966538429260254,(item_latents|constant),250,1
30000,3.159604787826538,(item_latents|constant),250,2
30000,2.4350948333740234,(item_latents|constant),250,3
30000,2.8781957626342773,(item_latents|constant),250,4
30000,2.8674838542938232,(item_latents|constant),300,0
30000,2.781522274017334,(item_latents|constant),300,1
30000,3.0619430541992188,(item_latents|constant),300,2
30000,3.274768829345703,(item_latents|constant),300,3
30000,2.8163583278656006,(item_latents|constant),300,4
30000,2.8669722080230713,(item_latents|constant),350,0
30000,4.728296279907227,(item_latents|constant),350,1
30000,2.9070000648498535,(item_latents|constant),350,2
30000,2.815547466278076,(item_latents|constant),350,3
30000,2.831937074661255,(item_latents|constant),350,4
30000,3.279423713684082,(item_latents|constant),400,0
30000,3.3167967796325684,(item_latents|constant),400,1
30000,3.4857301712036133,(item_latents|constant),400,2
30000,2.6352803707122803,(item_latents|constant),400,3
30000,2.984606981277466,(item_latents|constant),400,4
30000,2.9236013889312744,(item_latents|constant),450,0
30000,2.993633270263672,(item_latents|constant),450,1
30000,3.385793924331665,(item_latents|constant),450,2
30000,3.2150261402130127,(item_latents|constant),450,3
30000,3.3576645851135254,(item_latents|constant),450,4
30000,3.7878806591033936,(item_latents|constant),500,0
30000,3.6243579387664795,(item_latents|constant),500,1
30000,3.1557252407073975,(item_latents|constant),500,2
30000,3.5106163024902344,(item_latents|constant),500,3
30000,3.598599433898926,(item_latents|constant),500,4
