sample_size,time,formula,num_items,seed,loss
30000,5.62765645980835,(item_latents|constant),50,0,-116211.46875
30000,5.515369176864624,(item_latents|constant),50,1,-116211.46875
30000,5.638600826263428,(item_latents|constant),50,2,-116211.4609375
30000,5.376332759857178,(item_latents|constant),50,3,-116211.5
30000,5.671802997589111,(item_latents|constant),50,4,-116211.484375
30000,5.947009086608887,(item_latents|constant),100,0,-137629.9375
30000,6.237194538116455,(item_latents|constant),100,1,-137629.9375
30000,5.871718645095825,(item_latents|constant),100,2,-137629.953125
30000,6.287884473800659,(item_latents|constant),100,3,-137629.90625
30000,6.398634910583496,(item_latents|constant),100,4,-137629.90625
30000,7.006321907043457,(item_latents|constant),150,0,-149921.0625
30000,6.6810972690582275,(item_latents|constant),150,1,-149921.0625
30000,6.948067903518677,(item_latents|constant),150,2,-149921.0625
30000,7.090420961380005,(item_latents|constant),150,3,-149921.03125
30000,6.539600849151611,(item_latents|constant),150,4,-149921.03125
30000,7.945340633392334,(item_latents|constant),200,0,-158726.59375
30000,7.790695667266846,(item_latents|constant),200,1,-158726.65625
30000,7.7088775634765625,(item_latents|constant),200,2,-158726.59375
30000,7.597604513168335,(item_latents|constant),200,3,-158726.65625
30000,7.71582555770874,(item_latents|constant),200,4,-158726.625
30000,8.175837516784668,(item_latents|constant),250,0,-165338.9375
30000,8.64571475982666,(item_latents|constant),250,1,-165338.96875
30000,8.796539068222046,(item_latents|constant),250,2,-165338.90625
30000,8.68099331855774,(item_latents|constant),250,3,-165338.90625
30000,8.160019874572754,(item_latents|constant),250,4,-165338.953125
30000,9.289118528366089,(item_latents|constant),300,0,-170907.625
30000,9.185044527053833,(item_latents|constant),300,1,-170907.640625
30000,9.464188575744629,(item_latents|constant),300,2,-170907.625
30000,9.255627155303955,(item_latents|constant),300,3,-170907.65625
30000,9.24239993095398,(item_latents|constant),300,4,-170907.59375
30000,9.680007934570312,(item_latents|constant),350,0,-175610.3125
30000,9.976192235946655,(item_latents|constant),350,1,-175610.28125
30000,9.852819681167603,(item_latents|constant),350,2,-175610.28125
30000,11.271470069885254,(item_latents|constant),350,3,-175610.3125
30000,10.227543354034424,(item_latents|constant),350,4,-175610.28125
30000,11.476926565170288,(item_latents|constant),450,0,-183167.1875
30000,11.361478090286255,(item_latents|constant),450,1,-183167.21875
30000,11.268688201904297,(item_latents|constant),450,2,-183167.25
30000,11.9435293674469,(item_latents|constant),450,3,-183167.203125
30000,11.596519231796265,(item_latents|constant),450,4,-183167.203125
30000,12.344006538391113,(item_latents|constant),500,0,-186305.625
30000,12.261414289474487,(item_latents|constant),500,1,-186305.65625
30000,12.194245100021362,(item_latents|constant),500,2,-186305.65625
30000,12.011868953704834,(item_latents|constant),500,3,-186305.65625
30000,11.791478395462036,(item_latents|constant),500,4,-186305.65625
