sample_size,time,formula,num_items,seed,loss
30000,5.743623733520508,(user_latents|item) + (item_latents|constant),10,0,-53304.58984375
30000,5.68027138710022,(user_latents|item) + (item_latents|constant),10,1,-53304.5859375
30000,5.513068199157715,(user_latents|item) + (item_latents|constant),10,2,-53304.578125
30000,5.763346433639526,(user_latents|item) + (item_latents|constant),10,3,-53304.578125
30000,5.4645233154296875,(user_latents|item) + (item_latents|constant),10,4,-53304.6015625
30000,6.0514726638793945,(user_latents|item) + (item_latents|constant),20,0,-70749.78125
30000,6.060884237289429,(user_latents|item) + (item_latents|constant),20,1,-70749.78125
30000,6.182267904281616,(user_latents|item) + (item_latents|constant),20,2,-70749.8125
30000,5.935494661331177,(user_latents|item) + (item_latents|constant),20,3,-70749.796875
30000,5.79306435585022,(user_latents|item) + (item_latents|constant),20,4,-70749.796875
30000,8.418170690536499,(user_latents|item) + (item_latents|constant),50,0,-99141.609375
30000,8.315925598144531,(user_latents|item) + (item_latents|constant),50,1,-99141.59375
30000,8.36584758758545,(user_latents|item) + (item_latents|constant),50,2,-99141.75
30000,8.614577054977417,(user_latents|item) + (item_latents|constant),50,3,-99141.6015625
30000,8.141449451446533,(user_latents|item) + (item_latents|constant),50,4,-99141.734375
30000,12.703723430633545,(user_latents|item) + (item_latents|constant),100,0,-119801.0
30000,11.920106410980225,(user_latents|item) + (item_latents|constant),100,1,-119801.0703125
30000,12.599333763122559,(user_latents|item) + (item_latents|constant),100,2,-119801.078125
30000,12.419083833694458,(user_latents|item) + (item_latents|constant),100,3,-119801.046875
30000,11.575572490692139,(user_latents|item) + (item_latents|constant),100,4,-119801.046875
30000,16.067773580551147,(user_latents|item) + (item_latents|constant),150,0,-130643.1796875
30000,15.52586555480957,(user_latents|item) + (item_latents|constant),150,1,-130643.15625
30000,16.34864115715027,(user_latents|item) + (item_latents|constant),150,2,-130642.78125
30000,16.100279331207275,(user_latents|item) + (item_latents|constant),150,3,-130643.015625
30000,15.2467622756958,(user_latents|item) + (item_latents|constant),150,4,-130643.28125
30000,15.133431434631348,(user_latents|item) + (item_latents|constant),200,0,-137996.84375
30000,15.370331764221191,(user_latents|item) + (item_latents|constant),200,1,-137996.65625
30000,19.39764642715454,(user_latents|item) + (item_latents|constant),200,2,-137991.1875
30000,19.708115339279175,(user_latents|item) + (item_latents|constant),200,3,-137991.40625
30000,15.156523942947388,(user_latents|item) + (item_latents|constant),200,4,-137996.875
30000,17.95955538749695,(user_latents|item) + (item_latents|constant),250,0,-144300.6875
30000,18.021515369415283,(user_latents|item) + (item_latents|constant),250,1,-144300.59375
30000,20.188467025756836,(user_latents|item) + (item_latents|constant),250,2,-144300.46875
30000,26.149123430252075,(user_latents|item) + (item_latents|constant),250,3,-144293.5625
30000,18.415959119796753,(user_latents|item) + (item_latents|constant),250,4,-144300.46875
30000,26.538418292999268,(user_latents|item) + (item_latents|constant),300,0,-148839.09375
30000,21.33247447013855,(user_latents|item) + (item_latents|constant),300,1,-148845.1875
30000,21.18703603744507,(user_latents|item) + (item_latents|constant),300,2,-148845.125
30000,22.04291343688965,(user_latents|item) + (item_latents|constant),300,3,-148845.125
30000,21.130917072296143,(user_latents|item) + (item_latents|constant),300,4,-148844.9375
30000,24.77628207206726,(user_latents|item) + (item_latents|constant),350,0,-152897.84375
30000,24.9799747467041,(user_latents|item) + (item_latents|constant),350,1,-152897.8125
30000,24.848085403442383,(user_latents|item) + (item_latents|constant),350,2,-152897.828125
30000,25.91278100013733,(user_latents|item) + (item_latents|constant),350,3,-152897.84375
30000,23.802515745162964,(user_latents|item) + (item_latents|constant),350,4,-152897.859375
30000,31.7176194190979,(user_latents|item) + (item_latents|constant),450,0,-158973.90625
30000,30.795424461364746,(user_latents|item) + (item_latents|constant),450,1,-158973.78125
30000,30.36672019958496,(user_latents|item) + (item_latents|constant),450,2,-158973.9375
