sample_size,time,formula,num_params,seed
200000,20.505611896514893,(user_latents|item) + (item_latents|constant),1,0
200000,42.130255699157715,(user_latents|item) + (item_latents|constant),5,0
200000,77.01550316810608,(user_latents|item) + (item_latents|constant),10,0
200000,120.0622045993805,(user_latents|item) + (item_latents|constant),15,0
200000,132.6089301109314,(user_latents|item) + (item_latents|constant),20,0
200000,302.57266545295715,(user_latents|item) + (item_latents|constant),30,0
200000,19.41320776939392,(user_latents|item),1,0
200000,34.77383327484131,(user_latents|item),5,0
200000,64.16773200035095,(user_latents|item),10,0
200000,73.3492956161499,(user_latents|item),15,0
200000,99.28214406967163,(user_latents|item),20,0
200000,171.74516654014587,(user_latents|item),30,0
200000,9.366053342819214,(item_latents|constant),1,0
200000,11.31339955329895,(item_latents|constant),5,0
200000,12.643326044082642,(item_latents|constant),10,0
200000,15.321574211120605,(item_latents|constant),15,0
200000,18.176764249801636,(item_latents|constant),20,0
200000,22.936594247817993,(item_latents|constant),30,0
200000,19.24382710456848,(user_latents|item) + (item_latents|constant),1,1
200000,53.04097366333008,(user_latents|item) + (item_latents|constant),5,1
200000,77.39192605018616,(user_latents|item) + (item_latents|constant),10,1
200000,118.6014244556427,(user_latents|item) + (item_latents|constant),15,1
200000,163.20623779296875,(user_latents|item) + (item_latents|constant),20,1
200000,296.8240399360657,(user_latents|item) + (item_latents|constant),30,1
200000,22.700146913528442,(user_latents|item),1,1
200000,40.71210241317749,(user_latents|item),5,1
200000,62.42315649986267,(user_latents|item),10,1
200000,71.49967789649963,(user_latents|item),15,1
200000,118.49705862998962,(user_latents|item),20,1
200000,170.30840516090393,(user_latents|item),30,1
200000,8.132811069488525,(item_latents|constant),1,1
200000,11.267424821853638,(item_latents|constant),5,1
200000,15.094179630279541,(item_latents|constant),10,1
200000,16.133836030960083,(item_latents|constant),15,1
200000,21.222869634628296,(item_latents|constant),20,1
200000,23.977964878082275,(item_latents|constant),30,1
200000,24.261998891830444,(user_latents|item) + (item_latents|constant),1,2
200000,57.77647042274475,(user_latents|item) + (item_latents|constant),5,2
200000,106.03460812568665,(user_latents|item) + (item_latents|constant),10,2
200000,116.71325898170471,(user_latents|item) + (item_latents|constant),15,2
200000,164.90848517417908,(user_latents|item) + (item_latents|constant),20,2
200000,336.13338589668274,(user_latents|item) + (item_latents|constant),30,2
200000,27.19120192527771,(user_latents|item),1,2
200000,35.17594289779663,(user_latents|item),5,2
200000,55.42866492271423,(user_latents|item),10,2
200000,78.36389422416687,(user_latents|item),15,2
200000,101.64359903335571,(user_latents|item),20,2
200000,174.67757773399353,(user_latents|item),30,2
200000,8.255820274353027,(item_latents|constant),1,2
200000,13.166175127029419,(item_latents|constant),5,2
200000,13.53811526298523,(item_latents|constant),10,2
200000,14.357413530349731,(item_latents|constant),15,2
200000,20.865176916122437,(item_latents|constant),20,2
200000,21.2404522895813,(item_latents|constant),30,2
200000,23.83061695098877,(user_latents|item) + (item_latents|constant),1,3
200000,47.765687227249146,(user_latents|item) + (item_latents|constant),5,3
200000,68.62919545173645,(user_latents|item) + (item_latents|constant),10,3
200000,111.44648051261902,(user_latents|item) + (item_latents|constant),15,3
200000,158.50002527236938,(user_latents|item) + (item_latents|constant),20,3
200000,287.09586572647095,(user_latents|item) + (item_latents|constant),30,3
200000,24.994324445724487,(user_latents|item),1,3
200000,38.87008762359619,(user_latents|item),5,3
200000,52.95268368721008,(user_latents|item),10,3
200000,71.25480771064758,(user_latents|item),15,3
200000,108.10687732696533,(user_latents|item),20,3
200000,190.78612732887268,(user_latents|item),30,3
200000,7.524427652359009,(item_latents|constant),1,3
200000,11.118077993392944,(item_latents|constant),5,3
200000,17.96525764465332,(item_latents|constant),10,3
200000,14.420896053314209,(item_latents|constant),15,3
200000,19.752455949783325,(item_latents|constant),20,3
200000,27.23772120475769,(item_latents|constant),30,3
200000,19.78337812423706,(user_latents|item) + (item_latents|constant),1,4
200000,46.33679938316345,(user_latents|item) + (item_latents|constant),5,4
200000,94.27163910865784,(user_latents|item) + (item_latents|constant),10,4
200000,111.33950686454773,(user_latents|item) + (item_latents|constant),15,4
200000,164.77731275558472,(user_latents|item) + (item_latents|constant),20,4
200000,323.87893056869507,(user_latents|item) + (item_latents|constant),30,4
200000,20.323795557022095,(user_latents|item),1,4
200000,40.14454698562622,(user_latents|item),5,4
200000,72.50248718261719,(user_latents|item),10,4
200000,66.33177495002747,(user_latents|item),15,4
200000,112.39489364624023,(user_latents|item),20,4
200000,195.73685216903687,(user_latents|item),30,4
200000,13.042785882949829,(item_latents|constant),1,4
200000,13.293468236923218,(item_latents|constant),5,4
200000,28.71378993988037,(item_latents|constant),10,4
200000,21.394641876220703,(item_latents|constant),15,4
200000,16.694972276687622,(item_latents|constant),20,4
200000,23.18281602859497,(item_latents|constant),30,4
