sample_size,time,formula,seed,loss
50000,20.001601934432983,(user_latents|item),2,-268717.0
70000,34.383869647979736,(user_latents|item),2,-376193.875
100000,84.95841073989868,(user_latents|item),2,-537783.875
200000,55.67562961578369,(user_latents|item),2,-1092653.25
1000,0.22795748710632324,(item_latents|constant),2,-5742.1201171875
2000,0.29077720642089844,(item_latents|constant),2,-11519.0576171875
3000,0.4212923049926758,(item_latents|constant),2,-17309.45703125
5000,0.6413464546203613,(item_latents|constant),2,-29788.671875
7000,1.0007951259613037,(item_latents|constant),2,-42488.1640625
10000,1.4432740211486816,(item_latents|constant),2,-61103.3125
30000,3.184600830078125,(item_latents|constant),2,-184347.71875
50000,7.129070997238159,(item_latents|constant),2,-308973.65625
70000,7.470434665679932,(item_latents|constant),2,-433396.90625
100000,11.459610223770142,(item_latents|constant),2,-619438.625
200000,24.454082250595093,(item_latents|constant),2,-1240950.875
1000,0.24785709381103516,(user_latents|item) + (item_latents|constant),3,-5258.7109375
2000,0.8824210166931152,(user_latents|item) + (item_latents|constant),3,-10690.099609375
3000,1.0638518333435059,(user_latents|item) + (item_latents|constant),3,-16103.8828125
5000,4.915276527404785,(user_latents|item) + (item_latents|constant),3,-26720.365234375
7000,2.3491108417510986,(user_latents|item) + (item_latents|constant),3,-37470.37890625
10000,8.20444107055664,(user_latents|item) + (item_latents|constant),3,-53491.47265625
30000,22.710689544677734,(user_latents|item) + (item_latents|constant),3,-161056.109375
50000,58.70143914222717,(user_latents|item) + (item_latents|constant),3,-268728.0
70000,88.5824179649353,(user_latents|item) + (item_latents|constant),3,-376220.0
100000,189.40371990203857,(user_latents|item) + (item_latents|constant),3,-537840.375
200000,183.41847252845764,(user_latents|item) + (item_latents|constant),3,-1092297.625
1000,0.15364551544189453,(user_latents|item),3,-5258.771484375
2000,0.21710824966430664,(user_latents|item),3,-10690.080078125
3000,0.2915685176849365,(user_latents|item),3,-16104.169921875
5000,0.4348609447479248,(user_latents|item),3,-26721.41796875
7000,0.6380734443664551,(user_latents|item),3,-37469.38671875
10000,3.529428243637085,(user_latents|item),3,-53488.6953125
30000,8.816009998321533,(user_latents|item),3,-161046.71875
50000,20.606577157974243,(user_latents|item),3,-268716.90625
70000,33.62660622596741,(user_latents|item),3,-376193.875
100000,85.34371304512024,(user_latents|item),3,-537783.25
200000,55.72271966934204,(user_latents|item),3,-1092653.25
1000,0.20966434478759766,(item_latents|constant),3,-5742.125
2000,0.31287097930908203,(item_latents|constant),3,-11519.0546875
3000,0.4285087585449219,(item_latents|constant),3,-17309.4609375
5000,0.5499246120452881,(item_latents|constant),3,-29788.669921875
7000,0.8120050430297852,(item_latents|constant),3,-42488.1953125
10000,1.1505787372589111,(item_latents|constant),3,-61103.3203125
30000,3.4235429763793945,(item_latents|constant),3,-184347.828125
50000,7.582150936126709,(item_latents|constant),3,-308973.53125
70000,8.415614604949951,(item_latents|constant),3,-433396.875
100000,11.052238941192627,(item_latents|constant),3,-619438.75
200000,23.254334449768066,(item_latents|constant),3,-1240951.0
1000,0.5013599395751953,(user_latents|item) + (item_latents|constant),4,-5258.70703125
2000,0.8633852005004883,(user_latents|item) + (item_latents|constant),4,-10690.3671875
3000,1.9894506931304932,(user_latents|item) + (item_latents|constant),4,-16104.3125
5000,4.5155720710754395,(user_latents|item) + (item_latents|constant),4,-26720.8671875
7000,2.718397378921509,(user_latents|item) + (item_latents|constant),4,-37471.9296875
10000,6.027186393737793,(user_latents|item) + (item_latents|constant),4,-53491.9296875
30000,22.081629514694214,(user_latents|item) + (item_latents|constant),4,-161056.09375
50000,47.96489143371582,(user_latents|item) + (item_latents|constant),4,-268726.21875
70000,94.07051849365234,(user_latents|item) + (item_latents|constant),4,-376221.9375
